UNIDADE,FONTE,CONDIÇÃO IDENTIFICADA,AÇÃO INDICADA,SETOR RESPONSÁVEL,SITUAÇÃO,ORÇAMENTO,APROVADO?,REALIZADO?,OBSERVAÇÕES
SAP,MANUTENÇÃO,Instalação de tela de proteção janela predio da VK quarto andar,107379,COMPRAS,Resolvido,"R$ 280,00",SIM,SIM,
QI RIO 2,MANUTENÇÃO,TELHADO/TELHAS AFETADO PELAS PLACAS SOLARES;,RESOLUÇÃO COM O FORNECEDOR,CONTRATOS,Pendente,,,,
QI RIO 2,MANUTENÇÃO,SOLUÇÃO PARA MANUTENÇÃO RECORRENTE DA GRAMA SINTÉTICA DA ÁREA EXTERNA,PREVER A COLOCAÇÃO DO SPORTIT,ARQUITETURA,Pendente,,,,
QI RIO 2,MANUTENÇÃO,DRENOS AR CONDICIONADOS,RETROFIT,,Pendente,,,,
QI RIO 2,MANUTENÇÃO,INFILTRAÇÃO PAREDE DE 01 SALA NO SEMIENTERRADO,AJUSTE,MANUTENÇÃO,Pendente,,,,
QI RIO 2,UNIDADE,INVIABILIDADE DO USO DA GRAMA,CIMENTAR A GRAMA,,Pendente,,,,
QI RIO 2,UNIDADE,Compra de tabela de basquete,COMPRA - TR 61303,COMPRAS,Resolvido,"R$ 15.700,00",SIM,SIM,
QI TIJUCA,MANUTENÇÃO,PROBLEMA CRÔNICO DE ELÉTRICA,RETROFIT,ARQUITETURA,Pendente,,,,
QI TIJUCA,MANUTENÇÃO,PROBLEMA CRÔNICO DE AR CONDICIONADOS,RETROFIT,ARQUITETURA,Pendente,,,,
QI TIJUCA,ARQUITETURA,TUBULAÇÃO DE ÁGUA E ESGOTO EM FERRO,MODERINIZAÇÃO DE TUBULAÇÃO DE ÁGUA E ESGOTO PARA PVC,,Pendente,,,,
QI TIJUCA,ARQUITETURA,"BANHEIROS FEM, E MASC, 1º PAVIMENTO",REFORMA,,Pendente,,,,
QI TIJUCA,ARQUITETURA,CHUVA RECORRENTES CORREDORES,COLOCAÇÃO DE COBOGÓS ANTI-CHUVA,,Pendente,,,,
QI TIJUCA,ARQUITETURA,PISO DAS SALAS DA AULA (1º AO 4º PAV),TROCA PARA PORCELANATO,,Pendente,,,,
QI TIJUCA,ARQUITETURA,JANELAS ANTIGAS EM FERRO,TROCA POR ALUMÍNIO (TÉRREO AO 5º PAV),,Pendente,,,,
QI TIJUCA,ARQUITETURA,COBERTURA DA QUADRA COM INFILTRAÇÃO,TROCA,,Pendente,,,,
QI TIJUCA,ARQUITETURA,COBERTURA DE AMIANTO NO TELHADO,TROCA POR ALUMÍNIO,,Pendente,,,,
RAIZ SEDE,MANUTENÇÃO,ACÚSTICA DO AUDITÓRIO,CONTRATAÇÃO,FACILITIES,Em Andamento,,,,
SÁ PEREIRA CAPISTRANO,MANUTENÇÃO,NECESSIDADE DE TROCA DO PISO MONOLÍTICO NA ENTRADDA,TROCA DO PISO PARA SPORTIT NA ENTRADA,ARQUITETURA,Pendente,,,,
SÁ PEREIRA CAPISTRANO,VISTORIA ELLIPSES,RODAPÉ COM FALHA DE ACABAMENTO E REJUNTE IRREGULAR,Retoque nos pontos com falha de acabamento entre parede e rodapé.,,Pendente,,,,
SÁ PEREIRA CAPISTRANO,VISTORIA ELLIPSES,EMENDA VISÍVEL NO PISO VINÍLICO DA SALA 01,Avaliar necessidade de substituição ou remendo técnico do trecho com emenda visível.,,Pendente,,,,
SÁ PEREIRA CAPISTRANO,VISTORIA ELLIPSES,Tomada do chuveiro localizada próxima à banheira no banheiro infantil.,"Reposicionar a tomada para local seguro, distante da banheira, conforme normas de segurança elétrica.",,Resolvido,,,,
SÁ PEREIRA CAPISTRANO,VISTORIA ELLIPSES,"Acabamento insatisfatório: peças desalinhadas, rejuntes mal feitos, presença de cruzetas.","Refazer instalação de revestimentos, com alinhamento correto e remoção das cruzetas.",,Pendente,,,,
SÁ PEREIRA CAPISTRANO,VISTORIA ELLIPSES,Remendos visíveis nas pedras de granito sob as bancadas dos banheiros.,Substituição ou polimento das pedras para eliminar remendos visíveis.,,Pendente,,,,
SÁ PEREIRA CAPISTRANO,VISTORIA ELLIPSES,pequena infiltração na mureta,Revisar sistema de drenagem e calhas,,Pendente,,,,
SÁ PEREIRA MATRIZ,MANUTENÇÃO,VAZAMENTO TELHADO,ACERTO DE VAZAMENTOS,MANUTENÇÃO,Pendente,,,,
SÁ PEREIRA MATRIZ,MANUTENÇÃO,NECESSIDADE DE TROCA DO PISO MONOLÍTICO NA ENTRADA,RETIRADA DO PISO EXISTENTE,MANUTENÇÃO,Pendente,,,,
SÁ PEREIRA MATRIZ,MANUTENÇÃO,NECESSIDADE DE TROCA DO PISO MONOLÍTICO NA ENTRADA,TROCA DO PISO PARA SPORTIT NA ENTRADA,ARQUITETURA,Pendente,,,,
SÁ PEREIRA MATRIZ,VISTORIA ELLIPSES,"Peças de granito danificadas, com quinas vivas e sem proteção.",Substituir por peças com quinas arredondadas; realizar inspeções mensais; manter a poda.,,Pendente,,,,
SÁ PEREIRA MATRIZ,ARQUITETURA,Novas estantes (7 unidades),Compra,ARQUITETURA,Em Andamento,,,,
SAP,UNIDADE,TABELAS DE BASQUETE - QUADRA/RUA,COMPRA E INSTALAÇÃO,COMPRAS,Resolvido,,,,MONITORAR
SAP,UNIDADE,NECESSIDADE DE QUADRA EXTRA,INSTALAÇÃO DE REDES MÓVEIS E FIXAS,ARQUITETURA,Resolvido,,,,REVISÃO DE ESTUDO E ESCOPO
SAP,UNIDADE,NECESSIDADE DE QUADRA EXTRA,PINTURA DA QUADRA,ARQUITETURA,Resolvido,,,,ORÇAMENTAÇÃO
SAP,UNIDADE,FALTA DE ESPAÇO RESERVADO PARA GUARDA DE MATERIAIS,CRIAÇÃO DE ARMÁRIOS,ARQUITETURA,Pendente,,,,REVISÃO DE ESTUDO E ESCOPO / ORÇAMENTO
SAP,UNIDADE,AUSÊNCIA DE ESPAÇO DE EVENTOS E REUNIÕES,CRIAÇÃO DE AUDITÓRIO,ARQUITETURA,Pendente,,,,ARQUIVADO PARA 2026
SAP,ARQUITETURA,SEM ACESSIBILIDADE NO PRÉDIO DO E.M.,IMPLANTAÇÃO DE ELEVADOR NO PRÉDIO,FACILITIES,Pendente,,,,ARQUIVADO PARA 2026
SAP,UNIDADE,REFEITÓRIO COM PISO DESNIVELADO,REGULARIZAÇÃO DO PISO,ARQUITETURA,Pendente,,,,REVISÃO DE ESTUDO E ESCOPO
SAP,ARQUITETURA,ÁREA DE PÁTIO SEM PROTEÇÃO A SOL,COBERTURA EM LONA FIXA E VELA DE SOMBREAMENTO,ARQUITETURA,Pendente,,,,UNIDADE CANCELOU
SAP,MANUTENÇÃO,VAZAMENTOS SALAS 2PAV DO ENSINO MÉDICO,COLOCAÇÃO DE PEITORIS,ARQUITETURA,Pendente,,,,AGENDAR ATIVIDADE
SAP,ARQUITETURA,MOBILIÁRIO DAS CASINHAS - 89257,COMPRA E INSTALAÇÃO,COMPRAS,Resolvido,"R$ 7.545,00",SIM,SIM,AGUARDAR ENTREGA
SAP,ARQUITETURA,VAZAMENTOS NO REFEITÓRIO DA VK 22,OBRA,ARQUITETURA,Em Andamento,,,,
SAP,ARQUITETURA,AREIA DO TANQUE IMPRÓPRIA,RETIRADA/TROCA DE AREIA DO TANQUE,ARQUITETURA,Resolvido,,,,MONITORAR
SAP,UNIDADE,FACHADA DO E.M. SEM IDENTIDADE VISUAL,COLOCAR COMUNICAÇÃO VISUAL,CMEF,Pendente,,,,ALINHAMENTO COM CMEF
SAP,UNIDADE,TETO DA ESCADA COM ASPECTO RUIM,COLOCAÇÃO DE FORRO MINERAL,ARQUITETURA,Pendente,,,,ESCOPO / ORÇAMENTO
SAP,UNIDADE,ASPECTO RUIM DO  PISO MONOLÍTICO EM FRENTE A SALA DE MÚSICA,RETIRADA DO PISO EXISTENTE,MANUTENÇÃO,Pendente,,,,ALINHAMENTO COM MANUTENÇÃO
SAP,UNIDADE,ASPECTO RUIM DO  PISO MONOLÍTICO EM FRENTE A SALA DE MÚSICA,TROCA DO PISO PARA SPORTIT NA ENTRADA,ARQUITETURA,Pendente,,,,PROJETO / ORÇAMENTO
SAP,ARQUITETURA,MELHORIAS DE PAISAGISMO,PAREDE VERDE,ARQUITETURA,Pendente,,,,UNIDADE CANCELOU
SAP,UNIDADE,PING PONG E TOTÓ,TICKET 100871,COMPRAS,Resolvido,"R$ 4.425,00",SIM,SIM,EM COMPRAS
SAP,UNIDADE,COBERTURA ULTRAPASSADA EM FRENTE A CASINHA ANEXA,TROCA DO TELHAMENTO E INCLUSÃO DE CALHA,ARQUITETURA,Resolvido,,,,
SAP,UNIDADE,MELHORIAS NA RECEPÇÃO - BANCADA E ARMÁRIO ACAB. MADEIRA / PINTURA TETO,-,ARQUITETURA,Em Andamento,,,,
SARAH DAWSEY JF,UNIDADE,QUADRA MAIOR SEM COBERTURA,COBERTURA DA QUADRA,ARQUITETURA,Pendente,,,,
SARAH DAWSEY JF,UNIDADE,ABERTURA DE PORTA PARA REFEITÓRIO,PROJETO E ORÇAMENTO,ARQUITETURA,Pendente,,,,
UNIÃO,-,SALA STEAM,MODERNIZAÇÃO DA SALA DE ARTES PARA ADEQUAR A SALA STEAM,-,-,,,,
UNIÃO,-,SALAS MULTIUSO GINASIO,PINTURA E ILUMINAÇÃO DAS SALAS PARA USO DO +RAIZ E INSTALAÇÃO DE FORRO,,,,,,
UNIÃO,-,CORRIMÃO NA ARQUIBANCADA DO GINASIO PARA PPCI,,,,,,,
UNIFICADO RAMIRO,-,-,,,Pendente,,,,
UNIFICADO ZONA SUL,UNIDADE,REFORMA DA CANTINA - FECHAMENTO E ABERTURA PARA ÁREA DE ATENDIMENTO (BALCÃO),PROJETO E ORÇAMENTO,,Pendente,,,,
UNIFICADO ZONA SUL,UNIDADE,ENTRADA E SAIDA DE ALUNOS PELA ÁREA DE CONVIVENCIA - VER CATRACAS,PROJETO E ORÇAMENTO,,,,,,
UNIFICADO ZONA SUL,UNIDADE,ESPAÇO NA ÁREA DE CONVIVENCIA DESTINADA A EF1 - MOBILIÁRIO,PROJETO E ORÇAMENTO,,,,,,
UNIFICADO ZONA SUL,UNIDADE,ENTRADA E SAIDA DE ALUNOS PELA ÁREA DE CONVIVENCIA - PORTA DE ENROLAR E GRADIS,,,,,,,
SAP,UNIDADE,RESINA QUADRA NOVA,APLICAÇÃO,ARQUITETURA,Resolvido,,,,
SARAH DAWSEY JF,UNIDADE,PISO DA QUADRA EMPOÇANDO E COM FISSURAS,PISO SPORTIT,ARQUITETURA,,,,,
SARAH DAWSEY JF,UNIDADE,O PISO DO BRINQUEDO DO PÁTIO NÃO É ANTI IMPACTO E MACHUCOU UMA CRIANÇA,PISO MODULAR EMBAIXO DE BRINQUEDO,ARQUITETURA,,,,,
SARAH DAWSEY JF,UNIDADE,CATRACAS SEM RECONHECIMENTO FACIAL,INSTALAÇAO DE RECONHECEDORES FACIAIS NAS CATRACAS EXISTENTES,COMPRAS,,,,,
UNIÃO,UNIDADE,REFORMA DE SALA DE ATENDIMENTO,,,,,,,
UNIÃO,UNIDADE,REFORMA DE PÁTIO COBERTO / ENTRADA PRINCIPAL,,,,,,,
UNIÃO,UNIDADE,QUADRA BEACH TENNIS,,,,,,,
SARAH DAWSEY TIJUCA,ARQUITETURA,JOSÉ HIGINO,,ARQUITETURA,,,,,
INTEGRA,ARQUITETURA,APOGEU GLOBAL,,,,,,,
LEO ALFA,ARQUITETURA,GINÁSIO ALFA,,,,,,,
MATRIZ BANGU,ARQUITETURA,OBRA BANGU,,,,,,,
MATRIZ BANGU,ARQUITETURA,ENXOVAL,,,,,,,
LEO ALFA,CMEF,COMUNICAÇÃO VISUAL - FASE 03,Cotação feita pela Raquel e supervisão do serviço feito pela Luisa - 60506 e 60507,CMEF,Resolvido,"R$ 18.421,00",SIM,SIM,
SÁ PEREIRA MATRIZ,UNIDADE,MOBILIÁRIO REFEITÓRIO,,,,,,,
SÁ PEREIRA MATRIZ,UNIDADE,MOBILIÁRIO CORREDORES,,,,,,,
SÁ PEREIRA MATRIZ,UNIDADE,ARMÁRIOS SALAS DE AULA,,,,,,,
LEO ALFA,MANUTENÇÃO,INSTALAÇÃO DE CATRACA E COBERTURA,,,,,,,
LEO GAMA,MANUTENÇÃO,REMOÇÃO DE MANTA ANTIGA E INSTALAÇÃO DE NOVA,CONTRATAÇÃO REALIZADA PELA THAÍS,MANUTENÇÃO,Em Andamento,,,,
APOGEU FERREIRA GUIMARÃES,CMEF,OUTDOOR,CONTRATAÇÃO FEITA POR CMEF E ACOMPANHAMENTO FEITO PELO JULIO,CMEF,Em Andamento,,,,
INTEGRA,CMEF,OUTDOOR,CONTRATAÇÃO FEITA POR CMEF E ACOMPANHAMENTO FEITO PELO JULIO,CMEF,Em Andamento,,,,
APOGEU SANTO ANTÔNIO 1,CMEF,OUTDOOR,CONTRATAÇÃO FEITA POR CMEF E ACOMPANHAMENTO FEITO PELO JULIO,CMEF,Em Andamento,,,,
APOGEU FERREIRA GUIMARÃES,MANUTENÇÃO,REFORMA NA SALA MUNDO,CONTRATAÇÃO E ACOMPANHAMENTO PELO JULIO,MANUTENÇÃO,Em Andamento,,,,
MATRIZ NOVA IGUAÇU,UNIDADE,Rede para mesa de Ping Pong,TR 77773 - Solicitado por Roberta Santos como pedido de compras.,COMPRAS,Resolvido,"R$ 45,35",SIM,SIM,
LEO BETA,UNIDADE,Suporte para microfone,TR 76723 - Solicitado por Bruna Andrade como pedido de compras,COMPRAS,Resolvido,"R$ 34,00",SIM,SIM,
QI FREGUESIA,-,"1- Os banheiros do Fund 1 precisam de uma refoorma urgente, pois é uma reclamação constante nas pesquisas de satisfação  (mudar o piso, colocar portas nas baias tirando as sanfonadas que sempre soltam, trocar as descargas de cordinha e colocar uma pia descente).                                                                                            2- Nos vestiários, trocar as baias com chuveiros por baias com sanitários.                                                                                                                                                               3- Obra de monernização nos banheiros do segundo andar, do Funamental 2.",,MANUTENÇÃO,,,,,
QI FREGUESIA,-,"Criar um projeto de portaria automatizada, com baia para o porteiro",,,,,,,
QI FREGUESIA,-,"1- Reforma - modernização, iluminação, adesivação da porta, das paredes e do vidro.                                         2- Abrir uma porta da sala da secretaria escola para a sala da supervisão.",,,,,,,
QI FREGUESIA,-,"Pintura da sala da direção, adesivação da parede de fundo com Qi Bilíngue, nas cores roxo e brancoe emassar os buracos do mural que foi retirado.",,,,,,,
QI FREGUESIA,-,"1 gaveteiro novo, uma smart tv pequena para a biblioteca",,,,,,,
QI FREGUESIA,-,mesa de ping pong,,,,,,,
QI FREGUESIA,-,manutenção de grama sintética,,,,,,,
QI FREGUESIA,-,Salas de aula EFAI - aumentar salas tirando a parede,,,,,,,
QI FREGUESIA,-,refeitório bilingue - aumentar salas tirando a parede,,,,,,,
QI FREGUESIA,-,cobertura da quadra com furo e calha não dá vazão,,,,,,,
QI FREGUESIA,-,laboratório novo,,,,,,,
QI METROPOLITANO,,Substituição do piso branco das salas de aula por material mais resistente e adequado ao ambiente escolar.- Salas de aula,"Piso desgastado, com manchas e difícil manutenção, impactando na aparência e segurança das salas.",,,,,,
QI METROPOLITANO,,"Correção definitiva de pontos de vazamento no telhado do pátio, onde o paliativo realizado não foi suficiente.-Telhado do pátio","Mesmo após reparo provisório, continuam ocorrendo goteiras, comprometendo o uso do espaço em dias de chuva.",,,,,,
QI METROPOLITANO,,"Substituição dos azulejos da cozinha que estufaram e estão quebrados, garantindo segurança e higiene no preparo de alimentos. - Cozinha",Azulejos quebrados comprometem a higiene e podem causar acidentes na área da cozinha.,,,,,,
QI METROPOLITANO,,Pintura e melhorias visuais na entrada da escola para promover melhor aparência e acolhimento.- Fachada do colégio,Melhorar o aspecto visual da escola e proporcionar um ambiente mais acolhedor para alunos e visitantes.,,,,,,
QI METROPOLITANO,,"Reestruturação física do prédio nos fundos para viabilizar uso em atividades futuras, como oficinas ou aulas extras.- Prédio anexo (fundos)",Aproveitamento do espaço físico para ampliar a oferta de atividades pedagógicas e extracurriculares.,,,,,,
QI METROPOLITANO,,"Instalação de cobertura na quadra para proteção contra intempéries, permitindo o uso contínuo do espaço.- cobertura da quadra","A falta de cobertura limita o uso da quadra em dias de sol intenso ou chuva, prejudicando atividades escolares.",,,,,,
QI METROPOLITANO,,"Criação de uma cozinha exclusiva para uso dos funcionários, garantindo melhores condições de trabalho e organização.- Criação de uma cozinha administrativa para os funcionários","Funcionários não possuem espaço adequado para refeições, o que impacta no bem-estar e organização interna.",,,,,,
QI METROPOLITANO,,"Construção de cobertura na área de entrada dos alunos e portaria, proporcionando proteção contra chuva e sol.- Cobertura para a Portaria/entrada dos alunos","Área de entrada exposta ao clima, gerando desconforto a alunos e funcionários nos momentos de chegada e saída.",,,,,,
QI METROPOLITANO,,"Instalação de roda meio nas paredes das salas para proteção contra impactos de cadeiras e carteiras, preservando a pintura.- instalação de roda meio nas salas","A ausência de proteção nas paredes resulta em danos constantes à pintura, gerando custos frequentes de manutenção.",,,,,,
QI METROPOLITANO,,"Substituição das 3 grades sanfonadas localizadas na entrada do corredor, que estão danificadas e comprometem a segurança.- Trocar as 3 grades sanfonadas que ficam na entrada do corredor, estão empenadas e enferrujadas.",Grades empenadas e enferrujadas dificultam o fechamento e apresentam riscos à segurança.,,,,,,
QI METROPOLITANO,,"Troca dos refletores antigos por novos equipamentos mais potentes e econômicos, melhorando a iluminação dos ambientes.- Troca de refletores","Refletores antigos não iluminam adequadamente e têm alto consumo energético, comprometendo eficiência e segurança.",MANUTENÇÃO,,,,,
QI RECREIO,,"Verificação e manutenção nos banheiros da unidade, incluindo vasos, pias e encanamento, principalmente divisórias que estão caindo- Banheiros da unidade",Necessidade de manutenção preventiva e corretiva para garantir funcionamento adequado.,MANUTENÇÃO,,,,,
QI RECREIO,,Abertura  de um novo acesso secretaria - Entrada secretaria,Necessidade  de obra afim de melhor o acesso dos responsáveis,,,,,,
QI RECREIO,,abertura de um novo acesso sala de atendimento - Secretaria,"Necessidade  de obra afim de melhor o acesso dos responsáveis, evitando assim que tenham que entrar no prédio para serem atendidos",,,,,,
QI RECREIO,,"Adesivação  da sala da orientadora, para melhor receptividade - Sala de orientação","Descaracterização da antiga enfermaria, pois o não corresponde ao novo ambiente que se destina",,,,,,
QI RECREIO,,Adesivação do vidro da sala da secretaria - secretaria,"previsamos de adesivo com blackout, onde quem está na secretaria vê e de fora não",,,,,,
QI RECREIO,,troca do piso modulado do pátio - patio ( brinquedão),"O piso está totalmente descascado, sem cor e com várias faixas com falhas grandes, com buracos",,,,,,
QI RECREIO,,"5 mesas de professores novas, pois temos salas com mesas danificadas - salas de aula",Mesas danificadas e quebradas,,,,,,
QI RECREIO,,1 gaveteiro novo - sala direção,gaveteiro com gavetas quebradas,,,,,,
QI RECREIO,,1 gaveteiro novo - Biblioteca,gaveteiro com gavetas quebradas,,,,,,
QI RECREIO,,"persiana 1,25 x 1,25 m - Sala auxiliar de coordenação -","Precisamos de uma persiana na sala da auxiliar de coordenação, pois a janela fica com muita claridade",,,,,,
QI RECREIO,,manutenção da grama sintética,,,,,,,
QI RECREIO,,190 carteira escolares novas - ensino fundamental 2,,,,,,,
QI RECREIO,,"Precisamos tornar a sala uma sala multimaker, com adesivação adequada e mobiliário",,,,,,,
QI RECREIO,,65 conjuntos de mesa e carteiras escolares infantis,,,,,,,
QI RECREIO,,3 armários altos duas portas,,,,,,,
QI RECREIO,,sofá dois lugares e prateleiras,,,,,,,
QI RECREIO,,adesivação e mesa redonda com quatro cadeiras,,,,,,,
QI RIO 2,,"1- Instalação de bancadas em mármore, garantindo maior durabilidade, higiene e sofisticação.    2- Troca das portas por alumínio preto, oferecendo mais resistência, fácil manutenção e um acabamento moderno.                                 3- Padrão de acabamento idêntico ao dos banheiros da expansão, garantindo coerência visual e uniformidade entre os ambientes da escola. - Reforma dos banheiros, so prédio do qizinho. São seis no total.","Atualmente, as divisórias são de MDF e encontram-se visivelmente inchadas devido à umidade, o que compromete tanto a aparência quanto a durabilidade do espaço. Essa condição não condiz com o padrão que desejamos manter e impacta negativamente a experiência de uso.",,,,,,
QI RIO 2,,"Realização de reparo no telhado, incluindo substituição das telhas danificadas e revisão completa da estrutura de fixação. O serviço contempla ainda vedação reforçada e uso de materiais adequados para eliminar definitivamente pontos de infiltração. - Conserto do telhado como todo do prédio","Apesar das intervenções anteriores com aplicação de manta, as goteiras persistem, causando infiltrações recorrentes e comprometendo a segurança, o conforto e a preservação das áreas internas.",,,,,,
QI RIO 2,,"Realocar três salas atualmente localizadas em corredores distintos para o corredor interno da unidade. O serviço incluirá a desativação das salas originais, adaptação e preparação dos novos espaços no corredor interno, bem como eventuais ajustes de infraestrutura elétrica, iluminação e mobiliário, garantindo condições adequadas de uso. - Realocar três salas atualmente localizadas em corredores distintos para o corredor interno da unidade.","A alteração da localização das três salas para o corredor interno tem como objetivo centralizar o fluxo de entrada e saída de alunos, garantindo que todos saiam pelo mesmo acesso. Essa mudança elimina a necessidade de manter um inspetor dedicado em cada corredor, otimizando a alocação da equipe de inspetoria, aumentando a eficiência da supervisão e reforçando a segurança dos estudantes durante os intervalos e trocas de aula.",,,,,,
QI RIO 2,,"Reforma completa do brinquedão localizado na área de recreação. Atualmente, a estrutura apresenta ausência dos obstáculos originais (como os sacos de areia suspensos), comprometendo a proposta lúdica e de desafio do espaço. Além disso, o forro encontra-se rasgado, oferecendo risco de acidentes e prejudicando a estética e a segurança da atração. - Reforma do brinquedão","O brinquedão apresenta forro rasgado e falta de obstáculos, o que compromete a segurança e a diversão das crianças. A manutenção necessária exige serviço especializado, garantindo a preservação do espaço e um ambiente recreativo seguro e atrativo.",,,,,,
QI METROPOLITANO,,"Verificação e manutenção nos banheiros da unidade, incluindo vasos, pias e encanamento.",Necessidade de manutenção preventiva e corretiva para garantir funcionamento adequado.,MANUTENÇÃO,,,,,
QI METROPOLITANO,,Substituição completa do piso do pátio por material mais seguro e resistente.,"Piso desgastado e escorregadio, oferecendo risco de acidentes.",,,,,,
QI METROPOLITANO,,"Correção de infiltração identificada na parede da quadra, com impermeabilização adequada.",Infiltração compromete a estrutura e aparência do ambiente.,,,,,,
QI METROPOLITANO,,"Reforma completa do piso da quadra, garantindo nivelamento e segurança para uso esportivo.","Piso desgastado, com trincas e buracos, prejudicando a prática esportiva.",,,,,,
QI METROPOLITANO,,"Substituição das telhas do pátio, que apresentam furos e estão causando vazamentos.","Telhas danificadas causam vazamentos, prejudicando atividades no pátio.",,,,,,
QI METROPOLITANO,,Substituição das telhas da quadra devido a furos que comprometem o uso do espaço durante chuvas.,Furos nas telhas comprometem as atividades esportivas em dias de chuva.,,,,,,
QI METROPOLITANO,,Fechamento da passagem pelo portão roxo e reorganização do acesso da secretaria para dentro da unidade.,Organização mais eficiente da entrada e melhor controle de acesso.,,,,,,
QI METROPOLITANO,,Remanejamento da cozinha para outro local a fim de ampliar a área de lanche dos alunos.,"Ampliar área de convivência dos alunos, proporcionando mais conforto e espaço durante os lanches.",,,,,,
QI METROPOLITANO,,Construção de rampa no pátio para garantir o acesso adequado de pessoas com deficiência ou mobilidade reduzida.,Adequar o espaço físico da unidade às normas de acessibilidade e promover inclusão.,,,,,,
QI METROPOLITANO,,"Reforma completa do banheiro com nova pavimentação, paredes, substituição de pia e vasos, além da criação de acesso adaptado para PCD.",Melhorar as condições estruturais e garantir acessibilidade conforme a legislação.,,,,,,
QI METROPOLITANO,,"Instalação de exaustores e ventiladores industriais adicionais na quadra, além da substituição das portas para maior circulação de ar.","Ambiente da quadra apresenta alta temperatura e pouca circulação de ar, comprometendo o conforto.",,,,,,
QI METROPOLITANO,,"Substituição da adesivação do painel do pátio, que se encontra rasgada, restaurando a estética do espaço.",Painel rasgado prejudica a estética do pátio e a identidade visual da escola.,,,,,,
QI TIJUCA,,"Revisão completa dos banheiros (piso, vasos, pias e ambientação)",Banheiros apresentam desgaste com uso constante e precisam de manutenção para pleno funcionamento. Além de uma reforma para uma melhor apresentação do ambiente.,,,,,,
QI TIJUCA,,"Troca dos basculantes antigas, enferrujadas ou danificadas por estruturas novas e seguras, eliminando riscos e melhorando a manutenção dos AC.","Janelas antigas oferecem risco à segurança dos usuários e afetam a ventilação, conservação e imagem das salas.",,,,,,
QI TIJUCA,,Substituição do piso das salas de aula por material mais resistente e adequado ao ambiente escolar.,Troca de piso (quebrado e remendado com cimento ou sem revestimento) das salas de aula para o ambiente ficar seguro e mais apresentável.,,,,,,
QI TIJUCA,,"Colocação de ar condicionado, cabeamento de internet, pintura e troca de piso.","Mudança das salas de aula do Fundamental 1 para o 2º andar e ausência da sala da coordenação no mesmo pavimento, de forma a melhorar a dinâmica da coordenação junto às turmas.",,,,,,
QI TIJUCA,,Colocar cabeamento,Melhorar o acesso a rede.,,,,,,
QI TIJUCA,,Colocar portão dom chave,Segurança e controle dos alunos,,,,,,
QI TIJUCA,,"Criação de uma sala de descanso para uso dos funcionários, garantindo melhores condições de trabalho e organização.","Funcionários não possuem espaço adequado para descanso, o que impacta no bem-estar e organização interna. Atualmente utilizam a sala do judô.",,,,,,
QI TIJUCA,,Reformar e garantir melhor condição do local para os trabalhadores.,Melhoria nas condições atuais da sala de refeição e cozinha para o bem-estar dos trabalhadroes.,,,,,,
QI TIJUCA,,Reformar o piso para melhorar a aparência e ambientação do espaço.,Melhoria da aparência do piso e do ambiente destinado a refeições e recreios.,,,,,,
QI TIJUCA,,"Correção definitiva de pontos de vazamento no telhado do pátio, onde o paliativo realizado não foi suficiente.",vazamento,,,,,,
QI TIJUCA,,"Criação de uma area de descanso exclusiva para uso dos funcionários, garantindo melhores condições de trabalho e organização.",funcionários utilizam sala de judô para descanso,,,,,,
QI TIJUCA,,"Reformar a cozinha de  uso dos funcionários, garantindo melhores condições de trabalho e organização.","paredes precisam de pintura , aramários precisam ser reformados e falta filtro de água",,,,,,
QI TIJUCA,,"colocar grade , mini traves e piso",alternativa ao uso da qaudra,,,,,,
QI TIJUCA,,"reformar e vitalizar banheiros, inclusive o utilizado pelo pedagógico",local em péssimo estado,,,,,,
QI TIJUCA,,Substituição das telhas da quadra devido a furos que comprometem o uso do espaço durante chuvas.,Furos nas telhas comprometem as atividades esportivas em dias de chuva.,,,,,,
QI TIJUCA,,Instalação de ventiladores,ambiente muito quente,,,,,,
QI TIJUCA,,Instalação de ventiladores,ambiente muito quente,,,,,,
UNIFICADO ZONA SUL,,Sala de atendimento,,,Resolvido,,,,
LEO GAMA,,HALL - RESPONSAVEIS,Novo mobiliário,,,,,,
SAP,UNIDADE,BANCO PARA ENTRADA,TR 31624,COMPRAS,Resolvido,"R$ 2.691,00",SIM,SIM,
INTEGRA,MANUTENÇÃO,compra de chapa de perfil furada para o OUTDOOR,,MANUTENÇÃO,Resolvido,,,,
MATRIZ BANGU,,Compra de 2 mesas de totó,criar ambiente de socialização; atender demandas de alunos; espaço atual é subutilizado,,,,,,
MATRIZ BANGU,,"Remoção de vasos, pias e divisórias para unificação dos dois vestiários e adaptação em sala de jogos",Criar ambiente de socialização; atender demandas de alunos; espaço atual é subutilizado,,,,,,
MATRIZ BANGU,,Pintura geral do pátio,Garantir ambiente acolhedor e adequado ao convívio,,,,,,
MATRIZ BANGU,,Pintura de todas as salas,Preservar boa apresentação e ambiente adequado ao aprendizado,,,,,,
MATRIZ BANGU,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade do espaço esportivo,,,,,,
MATRIZ BANGU,,Pintura dos corredores de circulação,Reforçar organização e apresentação institucional,,,,,,
MATRIZ BANGU,,Pintura de corrimões e áreas de escada,Preservar aparência e segurança das estruturas,,,,,,
MATRIZ BANGU,,Pintura geral dos banheiros da unidade,Melhorar higiene e estética dos ambientes sanitários,,,,,,
